Series_Title,Released_Year,Genre,Runtime,IMDB_Rating,Overview,Country,Release_Date,Localized_Title,Censorship_Rating
La montaña sagrada,1973,"Adventure, Drama, Fantasy",114 min,7.9,"In a corrupt, greed-fueled world, a powerful alchemist leads a messianic character and seven materialistic figures to the Holy Mountain, where they hope to achieve enlightenment.",United Kingdom,2022-02-26,,G
American Beauty,1999,Drama,122 min,8.3,A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.,,2012-05-30,,NC-17
Who Framed Roger Rabbit,1988,"Animation, Adventure, Comedy",104 min,7.7,,Iran,2000-04-22,Balanced 24/7 structure,PG
Inglourious Basterds,2009,"Adventure, Drama, War",153 min,8.3,"In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.",United Kingdom,2021-05-11,Automated tangible forecast,G
"Three Billboards Outside Ebbing, Missouri",2017,"Comedy, Crime, Drama",115 min,8.2,A mother personally challenges the local authorities to solve her daughter's murder when they fail to catch the culprit.,Israel,2017-03-16,Up-sized zero-defect infrastructure,G
Slumdog Millionaire,2008,"Drama, Romance",120 min,8.0,"A Mumbai teenager reflects on his life after being accused of cheating on the Indian version of ""Who Wants to be a Millionaire?"".",North Macedonia,2023-06-09,Quality-focused asynchronous time-frame,NC-17
Dead Man,1995,"Adventure, Drama, Fantasy",121 min,,"On the run after murdering a man, accountant William Blake encounters a strange aboriginal American man named Nobody who prepares him for his journey into the spiritual world.",Macao,2016-07-04,Digitized zero-defect concept,R
Tangled,2010,"Animation, Adventure, Comedy",100 min,7.7,"The magically long-haired Rapunzel has spent her entire life in a tower, but now that a runaway thief has stumbled upon her, she is about to discover the world for the first time, and who she really is.",Sao Tome and Principe,1998-09-28,,PG-13
Baby Driver,2017,"Action, Crime, Drama",113 min,7.6,"After being coerced into working for a crime boss, a young getaway driver finds himself taking part in a heist doomed to fail.",Madagascar,2013-06-20,,PG
1917,2019,"Drama, Thriller, War",119 min,8.3,"April 6th, 1917. As a regiment assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap.",Palau,2021-07-03,,Unrated
Birdman or (The Unexpected Virtue of Ignorance),2014,"Comedy, Drama",119 min,7.7,"A washed-up superhero actor attempts to revive his fading career by writing, directing, and starring in a Broadway production.",Saint Helena,2015-09-11,Exclusive explicit portal,
Ying xiong,2002,"Action, Adventure, History",120 min,7.9,"A defense officer, Nameless, was summoned by the King of Qin regarding his success of terminating three warriors.",Holy See (Vatican City State),,Intuitive intermediate standardization,PG
The Sixth Sense,1999,"Drama, Mystery, Thriller",107 min,8.1,A boy who communicates with spirits seeks the help of a disheartened child psychologist.,Mexico,2004-05-08,,NC-17
