Series_Title,Released_Year,Genre,Runtime,IMDB_Rating,Overview,Award_Name,Award_Category,Award_Year,Won
Star Wars,1977,"Action, Adventure, Fantasy",121 min,8.6,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader.",Oscar,Best Director,2006.0,False
The Day of the Jackal,1973,"Crime, Drama, Thriller",143 min,7.8,"A professional assassin codenamed ""Jackal"" plots to kill Charles de Gaulle, the President of France.",Oscar,Best Actor,2000.0,True
Casino,1995,"Crime, Drama",178 min,8.2,"A tale of greed, deception, money, power, and murder occur between two best friends: a mafia enforcer and a casino executive compete against each other over a gambling empire, and over a fast-living and fast-loving socialite.",Cannes,Best Screenplay,2008.0,False
The Man from Earth,2007,"Drama, Fantasy, Mystery",87 min,7.9,An impromptu goodbye party for Professor John Oldman becomes a mysterious interrogation after the retiring scholar reveals to his colleagues he has a longer and stranger past than they can imagine.,BAFTA,Best Actor,2014.0,True
Miller's Crossing,1990,"Crime, Drama, Thriller",115 min,7.7,"Tom Reagan, an advisor to a Prohibition-era crime boss, tries to keep the peace between warring mobs but gets caught in divided loyalties.",Golden Globe,Best Cinematography,2004.0,False
Bãhubali: The Beginning,2015,,159 min,8.0,"In ancient India, an adventurous and daring man becomes involved in a decades-old feud between two warring peoples.",BAFTA,Best Screenplay,2001.0,False
On the Waterfront,1954,"Crime, Drama, Thriller",108 min,8.1,An ex-prize fighter turned longshoreman struggles to stand up to his corrupt union bosses.,Golden Globe,,2009.0,False
Dev.D,2009,"Drama, Romance",144 min,8.0,,Cannes,Best Director,2010.0,False
Dev.D,2009,"Drama, Romance",144 min,8.0,"After breaking up with his childhood sweetheart, a young man finds solace in drugs. Meanwhile, a teenage girl is caught in the world of prostitution. Will they be destroyed, or will they find redemption?",Cannes,Best Actress,2014.0,False
True Grit,2010,"Drama, Western",110 min,7.6,A stubborn teenager enlists the help of a tough U.S. Marshal to track down her father's murderer.,Oscar,Best Actress,2014.0,True
The Perks of Being a Wallflower,2012,"Drama, Romance",103 min,8.0,An introvert freshman is taken under the wings of two seniors who welcome him to the real world,Oscar,Best Cinematography,,False
Le salaire de la peur,1953,"Adventure, Drama, Thriller",131 min,8.1,"In a decrepit South American village, four men are hired to transport an urgent nitroglycerine shipment without the equipment that would make it safe.",BAFTA,Best Director,2011.0,True
Star Wars: Episode VI - Return of the Jedi,1983,"Action, Adventure, Fantasy",,8.3,"After a daring mission to rescue Han Solo from Jabba the Hutt, the Rebels dispatch to Endor to destroy the second Death Star. Meanwhile, Luke struggles to help Darth Vader back from the dark side without falling into the Emperor's trap.",Golden Globe,Best Director,2004.0,False
Solaris,1972,"Drama, Mystery, Sci-Fi",167 min,8.1,A psychologist is sent to a station orbiting a distant planet in order to discover what has caused the crew to go insane.,Oscar,Best Actress,2018.0,
Scent of a Woman,1992,Drama,156 min,8.0,"A prep school student needing money agrees to ""babysit"" a blind man, but the job is not at all what he anticipated.",Oscar,Best Screenplay,2011.0,True
Togo,2019,"Adventure, Biography, Drama",,8.0,"The story of Togo, the sled dog who led the 1925 serum run yet was considered by most to be too small and weak to lead such an intense race.",,Best Picture,2023.0,False
Once Were Warriors,1994,"Crime, Drama",,7.9,A family descended from Maori warriors is bedeviled by a violent father and the societal problems of being treated as outcasts.,Sundance,Best Screenplay,2011.0,False
Once Were Warriors,1994,"Crime, Drama",102 min,7.9,A family descended from Maori warriors is bedeviled by a violent father and the societal problems of being treated as outcasts.,Sundance,Best Actor,2016.0,False
