Series_Title,Released_Year,Genre,Runtime,IMDB_Rating,Overview,Available_On,Subscription_Required,Release_Date,Price
Star Wars,1977,"Action, Adventure, Fantasy",121 min,,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader.",,False,2023-07-29,0.0
Dawn of the Dead,1978,"Action, Adventure, Horror",127 min,7.9,"Following an ever-growing epidemic of zombies that have risen from the dead, two Philadelphia S.W.A.T. team members, a traffic reporter, and his television executive girlfriend seek refuge in a secluded shopping mall.",Netflix,False,2015-06-04,0.0
The Day of the Jackal,1973,"Crime, Drama, Thriller",,7.8,"A professional assassin codenamed ""Jackal"" plots to kill Charles de Gaulle, the President of France.",Hulu,,2022-11-07,0.88
Harvey,1950,,104 min,7.9,,Amazon Prime,True,2019-10-30,0.0
After Hours,1985,"Comedy, Crime, Drama",97 min,7.7,,,False,2021-06-16,
Toy Story 4,2019,"Animation, Adventure, Comedy",,7.8,"When a new toy called ""Forky"" joins Woody and the gang, a road trip alongside old and new friends reveals how big the world can be for a toy.",Amazon Prime,True,2023-12-22,0.0
Casino,1995,"Crime, Drama",178 min,8.2,"A tale of greed, deception, money, power, and murder occur between two best friends: a mafia enforcer and a casino executive compete against each other over a gambling empire, and over a fast-living and fast-loving socialite.",HBO Max,False,2017-09-10,
Eastern Promises,2007,"Action, Crime, Drama",100 min,7.6,A teenager who dies during childbirth leaves clues in her journal that could tie her child to a rape involving a violent Russian mob family.,Amazon Prime,False,2022-05-03,0.0
The Man from Earth,2007,"Drama, Fantasy, Mystery",87 min,7.9,An impromptu goodbye party for Professor John Oldman becomes a mysterious interrogation after the retiring scholar reveals to his colleagues he has a longer and stranger past than they can imagine.,Hulu,True,2022-05-24,0.0
A Few Good Men,1992,"Drama, Thriller",138 min,7.7,Military lawyer Lieutenant Daniel Kaffee defends Marines accused of murder. They contend they were acting under orders.,Netflix,,2017-01-17,
Taare Zameen Par,2007,"Drama, Family",165 min,8.4,"An eight-year-old boy is thought to be a lazy trouble-maker, until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school.",,True,2017-03-26,0.0
Udaan,2010,Drama,134 min,8.2,"Expelled from his school, a 16-year old boy returns home to his abusive and oppressive father.",,False,2020-09-23,18.2
The Illusionist,2006,"Drama, Fantasy, Mystery",110 min,,"In turn-of-the-century Vienna, a magician uses his abilities to secure the love of a woman far above his social standing.",Amazon Prime,False,,
Miller's Crossing,1990,"Crime, Drama, Thriller",115 min,7.7,"Tom Reagan, an advisor to a Prohibition-era crime boss, tries to keep the peace between warring mobs but gets caught in divided loyalties.",Hulu,True,2017-04-18,0.0
The Game,1997,"Action, Drama, Mystery",129 min,7.8,"After a wealthy banker is given an opportunity to participate in a mysterious game, his life is turned upside down when he becomes unable to distinguish between the game and reality.",,,2015-05-11,0.0
Bãhubali: The Beginning,2015,"Action, Drama",,8.0,"In ancient India, an adventurous and daring man becomes involved in a decades-old feud between two warring peoples.",Disney+,False,2025-01-08,2.22
A Bronx Tale,1993,"Crime, Drama, Romance",121 min,7.8,A father becomes worried when a local gangster befriends his son in the Bronx in the 1960s.,HBO Max,True,2016-08-22,6.1
La leggenda del pianista sull'oceano,1998,,169 min,8.1,"A baby boy, discovered in 1900 on an ocean liner, grows into a musical prodigy, never setting foot on land.",,,2021-03-01,0.0
50/50,2011,,100 min,7.6,,Hulu,False,2023-03-01,13.21
À bout de souffle,1960,"Crime, Drama",,,"A small-time thief steals a car and impulsively murders a motorcycle policeman. Wanted by the authorities, he reunites with a hip American journalism student and attempts to persuade her to run away with him to Italy.",Amazon Prime,True,2022-01-17,19.53
On the Waterfront,1954,,108 min,8.1,,Disney+,True,2016-04-08,17.62
